ID Clients;Numero de compte;Identifiant operation;Type de transaction;Status operation;Localisation;Date;Montant;Target
50321;85458321;TR8MNBA2;Paiement en ligne;Validé;Dakar;15/05/2024 10:00;10000.0;Normal
50321;85458321;TR4JKLO9;ATM;Validé;Thiès;20/05/2024 14:00;25000.0;Suspect
50321;85458321;TR2POIU8;Paiement électronique;En attente;Kaolack;25/05/2024 16:00;12000.0;Suspect
50785;850578;TR9QWERT;Paiement en ligne;Echoué;Kolda;05/05/2024 11:00;8000.0;Normal
50785;850578;TR6YUIOH;Paiement électronique;Validé;Tambacounda;10/05/2024 13:00;4000.0;Normal
50785;850578;TR3GHJKL;ATM;Echoué;Fatick;15/05/2024 15:00;15000.0;Normal
51234;859999;TR5MNBA1;Paiement électronique;Validé;Matam;20/05/2024 10:00;20000.0;Normal
51234;859999;TR2IOPQ8;Paiement en ligne;En attente;Rufisque;25/05/2024 16:00;10000.0;Suspect
51234;859999;TR8RSTU7;ATM;Validé;Mbacké;30/05/2024 11:00;12000.0;Normal
52369;8542198;TR4EFGH5;Paiement en ligne;Validé;Sédhiou;05/05/2024 12:00;15000.0;Normal
52369;8542198;TR9IJKL6;Paiement électronique;Echoué;Kaffrine;10/05/2024 15:00;8000.0;Normal
50321;85458321;TR1CDFG4;Paiement électronique;Validé;Dakar;15/06/2024 10:00;10000.0;Normal
50321;85458321;TR6OPQR3;ATM;Validé;Thiès;20/06/2024 14:00;20000.0;Normal
50785;850578;TR3UVWX2;Paiement en ligne;En attente;Kolda;05/06/2024 11:00;4000.0;Normal
50785;850578;TR8STUV1;Paiement électronique;Validé;Tambacounda;10/06/2024 13:00;25000.0;Suspect
51234;859999;TR2ABCD9;ATM;Echoué;Matam;15/06/2024 10:00;15000.0;Normal
51234;859999;TR5PQRS8;Paiement électronique;Validé;Rufisque;20/06/2024 16:00;12000.0;Suspect
52369;8542198;TR9YZAB7;Paiement en ligne;Echoué;Sédhiou;05/06/2024 12:00;8000.0;Normal
52369;8542198;TR1GHJK6;ATM;Validé;Kaffrine;10/06/2024 15:00;10000.0;Normal
50321;85458321;TR4MNBA5;Paiement électronique;Validé;Dakar;15/07/2024 10:00;15000.0;Normal
50321;85458321;TR2CDFG8;ATM;Validé;Thiès;20/07/2024 14:00;20000.0;Normal
50785;850578;TR8IJKL9;Paiement en ligne;En attente;Kolda;05/07/2024 11:00;4000.0;Normal
50785;850578;TR3PQRS7;Paiement électronique;Validé;Tambacounda;10/07/2024 13:00;25000.0;Suspect
51234;859999;TR5EFGH2;ATM;Echoué;Matam;15/07/2024 10:00;12000.0;Normal
51234;859999;TR2RSTU9;Paiement électronique;Validé;Rufisque;20/07/2024 16:00;10000.0;Suspect
52369;8542198;TR9CDEF8;Paiement en ligne;Validé;Sédhiou;05/07/2024 12:00;15000.0;Normal
52369;8542198;TR1OPQR7;ATM;Validé;Kaffrine;10/07/2024 15:00;8000.0;Normal
50321;85458321;TR6UVWX4;Paiement électronique;Validé;Dakar;15/08/2024 10:00;10000.0;Normal
50321;85458321;TR4RSTU3;ATM;Validé;Thiès;20/08/2024 14:00;20000.0;Normal
50785;850578;TR2IJKL1;Paiement en ligne;En attente;Kolda;05/08/2024 11:00;4000.0;Normal
50785;850578;TR9PQRS6;Paiement électronique;Validé;Tambacounda;10/08/2024 13:00;25000.0;Suspect
51234;859999;TR5MNBA8;ATM;Echoué;Matam;15/08/2024 10:00;15000.0;Normal
51234;859999;TR2GHJK5;Paiement électronique;Validé;Rufisque;20/08/2024 16:00;12000.0;Suspect
52369;8542198;TR1CDFG9;Paiement en ligne;Echoué;Sédhiou;05/08/2024 12:00;8000.0;Normal
52369;8542198;TR6OPQR4;ATM;Validé;Kaffrine;10/08/2024 15:00;10000.0;Normal
50321;85458321;TR3UVWX1;Paiement électronique;Validé;Dakar;25/08/2024 10:00;12000.0;Normal
50321;85458321;TR8STUV5;ATM;Validé;Thiès;30/08/2024 14:00;25000.0;Suspect
50785;850578;TR2ABCD8;Paiement en ligne;En attente;Kolda;25/08/2024 11:00;4000.0;Normal
50785;850578;TR5PQRS9;Paiement électronique;Validé;Tambacounda;30/08/2024 13:00;10000.0;Normal
51234;859999;TR9YZAB1;ATM;Echoué;Matam;25/08/2024 10:00;15000.0;Normal
51234;859999;TR1GHJK8;Paiement électronique;Validé;Rufisque;30/08/2024 16:00;12000.0;Suspect
52369;8542198;TR4MNBA7;Paiement en ligne;Validé;Sédhiou;25/08/2024 12:00;15000.0;Normal
52369;8542198;TR2CDFG1;ATM;Validé;Kaffrine;30/08/2024 15:00;8000.0;Normal
50321;85458321;TR9IJKL2;Paiement électronique;Validé;Dakar;05/09/2024 10:00;10000.0;Normal
50321;85458321;TR5EFGH9;ATM;Validé;Thiès;10/09/2024 14:00;20000.0;Normal
50785;850578;TR1OPQR1;Paiement en ligne;En attente;Kolda;05/09/2024 11:00;4000.0;Normal
50785;850578;TR6RSTU8;Paiement électronique;Validé;Tambacounda;10/09/2024 13:00;25000.0;Suspect
51234;859999;TR3UVWX6;ATM;Echoué;Matam;05/09/2024 10:00;12000.0;Normal
51234;859999;TR8MNBA4;Paiement électronique;Validé;Rufisque;10/09/2024 16:00;10000.0;Suspect
52369;8542198;TR2GHJK7;Paiement en ligne;Echoué;Sédhiou;05/09/2024 12:00;8000.0;Normal
52369;8542198;TR9CDEF1;ATM;Validé;Kaffrine;10/09/2024 15:00;15000.0;Normal
50321;85458321;TR4JKLO6;Paiement électronique;Validé;Dakar;15/09/2024 10:00;12000.0;Normal
50321;85458321;TR2POIU5;ATM;Validé;Thiès;20/09/2024 14:00;25000.0;Suspect
50785;850578;TR8IJKL1;Paiement en ligne;En attente;Kolda;15/09/2024 11:00;4000.0;Normal
50785;850578;TR3PQRS6;Paiement électronique;Validé;Tambacounda;20/09/2024 13:00;10000.0;Normal
51234;859999;TR5EFGH1;ATM;Echoué;Matam;15/09/2024 10:00;15000.0;Normal
51234;859999;TR2RSTU8;Paiement électronique;Validé;Rufisque;20/09/2024 16:00;12000.0;Suspect
52369;8542198;TR9QWERT;Paiement en ligne;Validé;Sédhiou;15/09/2024 12:00;15000.0;Normal
