ID Clients;Numero de compte;Identifiant operation;Type de transaction;Status operation;Localisation;Date;Montant;Target
10123;5890123;OP26G8M;ATM;Validé;Dakar;25/01/2023 12:10;250000;Normal
10123;5890123;OP11K9L;Paiement en ligne;Validé;Thiès;27/01/2023 14:50;420000;Normal
18567;58673421;OP74H2J;ATM;En attente;Kaolack;29/01/2023 16:20;120000;Normal
29987;58123456;OP39M1N;ATM;Validé;Tambacounda;01/02/2023 10:40;80000;Normal
34219;58012398;OP92D4R;ATM;Validé;Kolda;03/02/2023 12:10;150000;Normal
10123;5890123;OP13F5G;Paiement en ligne;Validé;Saint Louis;05/02/2023 15:30;550000;Normal
23456;58098765;OP67I8K;ATM;En attente;Dakar;08/02/2023 17:10;200000;Normal
18567;58673421;OP42E9C;Paiement électronique;Validé;Ziguinchor;10/02/2023 11:20;300000;Normal
29987;58123456;OP85B3A;ATM;Validé;Fatick;12/02/2023 13:40;100000;Normal
34219;58012398;OP49M6D;ATM;En attente;Tambacounda;14/02/2023 16:50;220000;Normal
10123;5890123;OP96L4H;ATM;Validé;Thiès;16/02/2023 10:10;280000;Normal
10123;5890123;OP23J7F;Paiement en ligne;Validé;Dakar;18/02/2023 14:40;450000;Normal
18567;58673421;OP51G2E;ATM;Validé;Kaolack;20/02/2023 12:20;180000;Normal
23456;58098765;OP88N3B;Paiement électronique;En attente;Saint Louis;22/02/2023 15:10;350000;Normal
29987;58123456;OP14C5K;ATM;Validé;Kolda;24/02/2023 11:10;120000;Normal
34219;58012398;OP62H1I;ATM;Validé;Fatick;26/02/2023 13:30;200000;Normal
10123;5890123;OP75R8P;ATM;En attente;Dakar;28/02/2023 16:40;250000;Normal
10123;5890123;OP38L9Q;Paiement en ligne;Validé;Thiès;02/03/2023 10:50;420000;Normal
18567;58673421;OP92F1R;Paiement électronique;Validé;Ziguinchor;04/03/2023 12:10;320000;Normal
23456;58098765;OP46G7S;ATM;Validé;Saint Louis;06/03/2023 14:20;280000;Normal
29987;58123456;OP19M2T;ATM;En attente;Tambacounda;08/03/2023 11:20;150000;Normal
34219;58012398;OP67I3U;ATM;Validé;Kolda;10/03/2023 13:10;220000;Normal
10123;5890123;OP23H8V;Paiement en ligne;Validé;Dakar;12/03/2023 15:40;500000;Normal
18567;58673421;OP51C4W;ATM;Validé;Kaolack;14/03/2023 12:30;200000;Normal
23456;58098765;OP88N5X;Paiement électronique;En attente;Thiès;16/03/2023 16:10;380000;Normal
29987;58123456;OP14F6Y;ATM;Validé;Fatick;18/03/2023 11:40;180000;Normal
34219;58012398;OP62G1Z;ATM;Validé;Tambacounda;20/03/2023 13:50;250000;Normal
10123;5890123;OP75I9A;ATM;En attente;Dakar;22/03/2023 10:20;300000;Normal
10123;5890123;OP38K2B;Paiement en ligne;Validé;Saint Louis;24/03/2023 14:50;450000;Normal
18567;58673421;OP92E5C;Paiement électronique;Validé;Ziguinchor;26/03/2023 12:40;350000;Normal
23456;58098765;OP46H7D;ATM;Validé;Thiès;28/03/2023 16:20;280000;Normal
29987;58123456;OP19N3E;ATM;En attente;Kolda;30/03/2023 11:10;200000;Normal
34219;58012398;OP67J4F;ATM;Validé;Fatick;01/04/2023 13:20;220000;Normal
10123;5890123;OP23I9G;Paiement en ligne;Validé;Dakar;03/04/2023 15:10;500000;Normal
18567;58673421;OP51D5H;ATM;Validé;Kaolack;05/04/2023 12:10;250000;Normal
23456;58098765;OP88P6I;Paiement électronique;En attente;Saint Louis;07/04/2023 16:40;400000;Normal
29987;58123456;OP14G7J;ATM;Validé;Tambacounda;09/04/2023 11:30;180000;Normal
34219;58012398;OP62H2K;ATM;Validé;Kolda;11/04/2023 13:40;250000;Normal
10123;5890123;OP75J1L;ATM;En attente;Dakar;13/04/2023 10:40;350000;Normal
10123;5890123;OP38L3M;Paiement en ligne;Validé;Thiès;15/04/2023 14:20;420000;Normal
18567;58673421;OP92F2N;Paiement électronique;Validé;Ziguinchor;17/04/2023 12:20;380000;Normal
23456;58098765;OP46I8O;ATM;Validé;Saint Louis;19/04/2023 16:10;300000;Normal
29987;58123456;OP19P4Q;ATM;En attente;Fatick;21/04/2023 11:10;200000;Normal
34219;58012398;OP67K5R;ATM;Validé;Tambacounda;23/04/2023 13:30;220000;Normal
10123;5890123;OP23J2S;Paiement en ligne;Validé;Dakar;25/04/2023 15:40;500000;Normal
18567;58673421;OP51E6T;ATM;Validé;Kaolack;27/04/2023 12:30;250000;Normal
23456;58098765;OP88Q7U;Paiement électronique;En attente;Thiès;29/04/2023 16:50;400000;Normal
29987;58123456;OP14H8V;ATM;Validé;Kolda;01/05/2023 11:20;180000;Normal
34219;58012398;OP62I3W;ATM;Validé;Fatick;03/05/2023 13:40;250000;Normal
10123;5890123;OP75K4X;ATM;En attente;Dakar;05/05/2023 10:10;350000;Normal
10123;5890123;OP38M5Y;Paiement en ligne;Validé;Saint Louis;07/05/2023 14:40;420000;Normal
18567;58673421;OP92G6Z;Paiement électronique;Validé;Ziguinchor;09/05/2023 12:10;380000;Normal
23456;58098765;OP46J9A;ATM;Validé;Thiès;11/05/2023 16:20;300000;Normal
29987;58123456;OP19Q5B;ATM;En attente;Tambacounda;13/05/2023 11:30;200000;Normal
34219;58012398;OP67L6C;ATM;Validé;Kolda;15/05/2023 13:20;220000;Normal
10123;5890123;OP23K1D;Paiement en ligne;Validé;Dakar;17/05/2023 15:10;500000;Normal
18567;58673421;OP51F7E;ATM;Validé;Kaolack;19/05/2023 12:20;250000;Normal
23456;58098765;OP88R8F;Paiement électronique;En attente;Saint Louis;21/05/2023 16:40;400000;Normal
29987;58123456;OP14I9G;ATM;Validé;Fatick;23/05/2023 11:10;180000;Normal
34219;58012398;OP62J2H;ATM;Validé;Tambacounda;25/05/2023 13:30;250000;Normal
10123;5890123;OP75L5I;ATM;En attente;Dakar;27/05/2023 10:40;350000;Normal
10123;5890123;OP38N6J;Paiement en ligne;Validé;Thiès;29/05/2023 14:20;420000;Normal
18567;58673421;OP92H7K;Paiement électronique;Validé;Ziguinchor;31/05/2023 12:10;380000;Normal
23456;58098765;OP46K1L;ATM;Validé;Saint Louis;02/06/2023 16:10;300000;Normal
29987;58123456;OP19R6M;ATM;En attente;Kolda;04/06/2023 11:20;200000;Normal
